,R,L
1697,47,17
1698,51,37
1699,76,71
1700,53,74
1701,28,49
1702,5,33
1703,36,40
1704,31,35
1705,19,19
1706,5,5
1707,3,-15
1708,-26,-30
1709,-41,-29
1710,-55,-55
1711,-69,-61
1712,-38,-63
1713,-41,-45
1714,-40,-49
1715,-46,-29
1716,-11,-22
1717,-7,-1
1718,24,10
1719,17,25
1720,48,26
1721,34,45
1722,73,56
1723,42,54
1724,64,65
1725,52,61
1726,40,60
1727,14,42
1728,12,13
1729,-14,21
1730,-13,-2
1731,-35,-19
1732,-34,-41
1733,-44,-34
1734,-46,-41
1735,-48,-56
1736,-51,-70
1737,-54,-67
1738,-35,-77
1739,-48,-55
1740,-20,-47
1741,9,-16
1742,16,-20
1743,25,19
1744,18,26
1745,30,28
1746,26,34
1747,38,27
1748,29,58
1749,18,43
1750,17,32
1751,9,6
1752,5,8
1753,0,8
1754,-4,17
1755,-15,-1
1756,11,15
1757,35,23
1758,61,39
1759,63,38
1760,57,40
1761,60,50
1762,64,60
1763,60,69
1764,63,61
1765,28,32
1766,-2,16
1767,-29,-31
1768,-60,-41
1769,-75,-65
1770,-91,-71
1771,-88,-82
1772,-86,-102
1773,-93,-105
1774,-102,-95
1775,-86,-90
1776,-70,-80
1777,-47,-41
1778,-15,-32
1779,12,14
1780,44,50
1781,73,87
1782,86,86
1783,94,102
1784,102,99
1785,86,96
1786,73,84
1787,47,44
1788,26,31
1789,-3,-10
1790,-20,-15
1791,-29,-63
1792,-53,-62
1793,-65,-89
1794,-75,-89
1795,-70,-80
1796,-60,-81
1797,-46,-63
1798,-47,-37
1799,-22,-13
1800,-13,-1
1801,21,35
1802,9,41
1803,5,30
1804,0,16
1805,8,34
1806,28,36
1807,36,45
1808,24,35
1809,24,16
1810,4,7
1811,3,-7
1812,-18,-30
1813,-17,-30
1814,7,-11
1815,27,5
1816,36,7
1817,22,10
1818,8,0
1819,-27,-4
1820,-10,-11
1821,-17,-8
1822,-17,-14
1823,-38,-17
1824,-42,-38
1825,-46,-35
1826,-47,-37
1827,-26,-29
1828,-16,-16
1829,-5,-6
1830,4,-6
1831,-6,-6
1832,6,-2
1833,13,10
1834,36,24
1835,35,28
1836,40,39
1837,23,29
1838,32,31
1839,33,20
1840,25,22
1841,9,22
1842,-5,10
1843,-13,-9
1844,-15,-6
1845,-13,-10
1846,-13,-6
1847,-20,-23
1848,-22,-4
1849,11,-4
1850,14,11
1851,25,24
1852,16,33
1853,13,16
1854,3,-2
1855,-5,-6
1856,-9,-20
1857,10,-5
1858,4,-10
1859,4,9
1860,-13,-5
1861,-19,-1
1862,-6,-15
1863,-6,-15
